#string_protein_id	alias	source
4932.Q0010	4932.Q0010	Ensembl_STRING
4932.Q0010	KP263414	Ensembl_EMBL
4932.Q0010	L000004921	SGD_ID
4932.Q0010	ORF6	SGD_SYNONYM
4932.Q0010	ORF6	UniProt_GN_ORFNames
4932.Q0010	Q0010	Ensembl
4932.Q0010	Q0010	Ensembl_gene
4932.Q0010	Q0010	Ensembl_translation
4932.Q0010	Q0010	SGD_PRIMARY
4932.Q0010	Q0010	UniProt_GN_OrderedLocusNames
4932.Q0010	Q0010_YEAST	UniProt_ID
4932.Q0010	Q0010_mRNA	Ensembl_transcript
4932.Q0010	Q9ZZX9	Ensembl_UniProt
4932.Q0010	Q9ZZX9	UniProt_AC
4932.Q0010	S000007257	SGD_ID
4932.Q0010	S000007257	UniProt_DR_SGD
4932.Q0010	UPI0000098937	Ensembl_UniParc
4932.Q0017	4932.Q0017	Ensembl_STRING
4932.Q0017	KP263414	Ensembl_EMBL
4932.Q0017	L000004922	SGD_ID
4932.Q0017	ORF7	SGD_SYNONYM
4932.Q0017	ORF7	UniProt_GN_ORFNames
4932.Q0017	Q0017	Ensembl
4932.Q0017	Q0017	Ensembl_gene
4932.Q0017	Q0017	Ensembl_translation
4932.Q0017	Q0017	SGD_PRIMARY
4932.Q0017	Q0017	UniProt_GN_OrderedLocusNames
4932.Q0017	Q0017_YEAST	UniProt_ID
4932.Q0017	Q0017_mRNA	Ensembl_transcript
4932.Q0017	Q9ZZX8	Ensembl_UniProt
4932.Q0017	Q9ZZX8	UniProt_AC
4932.Q0017	S000007258	SGD_ID
4932.Q0017	S000007258	UniProt_DR_SGD
4932.Q0017	UPI000008F580	Ensembl_UniParc
4932.Q0032	4932.Q0032	Ensembl_STRING
4932.Q0032	KP263414	Ensembl_EMBL
4932.Q0032	L000004923	SGD_ID
4932.Q0032	ORF8	SGD_SYNONYM
4932.Q0032	ORF8	UniProt_GN_ORFNames
4932.Q0032	Q0032	Ensembl
4932.Q0032	Q0032	Ensembl_gene
4932.Q0032	Q0032	Ensembl_translation
4932.Q0032	Q0032	SGD_PRIMARY
4932.Q0032	Q0032	UniProt_GN_OrderedLocusNames
4932.Q0032	Q0032_YEAST	UniProt_ID
4932.Q0032	Q0032_mRNA	Ensembl_transcript
4932.Q0032	Q9ZZX7	Ensembl_UniProt
4932.Q0032	Q9ZZX7	UniProt_AC
4932.Q0032	S000007259	SGD_ID
4932.Q0032	S000007259	UniProt_DR_SGD
4932.Q0032	UPI0000094C48	Ensembl_UniParc
4932.Q0045	1.9.3.1	UniProt_DE_RecName_EC
4932.Q0045	4932.Q0045	Ensembl_STRING
4932.Q0045	6GIQ	UniProt_DR_PDB
4932.Q0045	6HU9	UniProt_DR_PDB
4932.Q0045	7.1.1.9	KEGG_EC
4932.Q0045	854598	KEGG_GENEID
4932.Q0045	854598	UniProt_DR_GeneID
4932.Q0045	A0A0A7NYF6	UniProt_AC
4932.Q0045	AIZ98881.1	Ensembl_protein_id
4932.Q0045	CAA24070.1	Ensembl_protein_id
4932.Q0045	CAA33036.1	Ensembl_protein_id
4932.Q0045	COX1	Ensembl_EntrezGene
4932.Q0045	COX1	KEGG_NAME
4932.Q0045	COX1	SGD_NAME
4932.Q0045	COX1	UniProt_GN_Name
4932.Q0045	COX1_YEAST	UniProt_ID
4932.Q0045	Cytochrome c oxidase polypeptide I	UniProt_DE_AltName_Full
4932.Q0045	Cytochrome c oxidase subunit 1	KEGG_PRODUCT
4932.Q0045	Cytochrome c oxidase subunit 1	UniProt_DE_RecName_Full
4932.Q0045	EC 7.1.1.9	KEGG_EC
4932.Q0045	L000000383	SGD_ID
4932.Q0045	L000001321	SGD_ID
4932.Q0045	L000004924	SGD_ID
4932.Q0045	NC_001224	Ensembl_RefSeq_short
4932.Q0045	NC_001224.1	Ensembl_RefSeq
4932.Q0045	NC_001224.1	UniProt_DR_RefSeq
4932.Q0045	NP_009305	Ensembl_RefSeq_short
4932.Q0045	NP_009305	KEGG_NCBI
4932.Q0045	NP_009305.1	Ensembl_RefSeq
4932.Q0045	NP_009305.1	UniProt_DR_RefSeq
4932.Q0045	OXI3	Ensembl_external_synonym_EntrezGene
4932.Q0045	OXI3	KEGG_NAME_SYNONYM
4932.Q0045	OXI3	SGD_SYNONYM
4932.Q0045	OXI3	UniProt_GN_Synonyms
4932.Q0045	P00401	Ensembl_UniProt
4932.Q0045	P00401	UniProt_AC
4932.Q0045	Q0045	Ensembl
4932.Q0045	Q0045	Ensembl_gene
4932.Q0045	Q0045	Ensembl_translation
4932.Q0045	Q0045	KEGG_KEGGID_SHORT
4932.Q0045	Q0045	SGD_PRIMARY
4932.Q0045	Q0045	UniProt_GN_OrderedLocusNames
4932.Q0045	Q0045_mRNA	Ensembl_transcript
4932.Q0045	Q9ZZX6	UniProt_AC
4932.Q0045	S000007260	SGD_ID
4932.Q0045	S000007260	UniProt_DR_SGD
4932.Q0045	UPI0000095A7E	Ensembl_UniParc
4932.Q0045	cytochrome c oxidase subunit 1	SGD_SYNONYM
4932.Q0045	sce:Q0045	KEGG_KEGGID
4932.Q0050	4932.Q0050	Ensembl_STRING
4932.Q0050	854593	Ensembl_EntrezGene
4932.Q0050	854593	KEGG_GENEID
4932.Q0050	854593	UniProt_DR_GeneID
4932.Q0050	A0A0A7NYG1	UniProt_AC
4932.Q0050	AAA67532.1	Ensembl_protein_id
4932.Q0050	AI1	KEGG_NAME
4932.Q0050	AI1	SGD_NAME
4932.Q0050	AI1	UniProt_GN_Name
4932.Q0050	AI1M_YEAST	UniProt_ID
4932.Q0050	AIZ98886.1	Ensembl_protein_id
4932.Q0050	CAA24071.1	Ensembl_protein_id
4932.Q0050	Intron-encoded reverse transcriptase aI1	KEGG_PRODUCT
4932.Q0050	L000000066	SGD_ID
4932.Q0050	L000004925	SGD_ID
4932.Q0050	NC_001224	Ensembl_RefSeq_short
4932.Q0050	NC_001224.1	Ensembl_RefSeq
4932.Q0050	NC_001224.1	UniProt_DR_RefSeq
4932.Q0050	NP_009310	Ensembl_RefSeq_short
4932.Q0050	NP_009310	KEGG_NCBI
4932.Q0050	NP_009310.1	Ensembl_RefSeq
4932.Q0050	NP_009310.1	UniProt_DR_RefSeq
4932.Q0050	P03875	Ensembl_UniProt
4932.Q0050	P03875	UniProt_AC
4932.Q0050	Putative COX1/OXI3 intron 1 protein	UniProt_DE_RecName_Full
4932.Q0050	Q0050	Ensembl
4932.Q0050	Q0050	Ensembl_gene
4932.Q0050	Q0050	Ensembl_translation
4932.Q0050	Q0050	KEGG_KEGGID_SHORT
4932.Q0050	Q0050	SGD_PRIMARY
4932.Q0050	Q0050	UniProt_GN_OrderedLocusNames
4932.Q0050	Q0050_mRNA	Ensembl_transcript
4932.Q0050	Q9ZZX5	UniProt_AC
4932.Q0050	S000007261	SGD_ID
4932.Q0050	S000007261	UniProt_DR_SGD
4932.Q0050	UPI0000097281	Ensembl_UniParc
4932.Q0050	intron-encoded reverse transcriptase aI1	SGD_SYNONYM
4932.Q0050	sce:Q0050	KEGG_KEGGID
4932.Q0055	4932.Q0055	Ensembl_STRING
4932.Q0055	854594	Ensembl_EntrezGene
4932.Q0055	854594	KEGG_GENEID
4932.Q0055	854594	UniProt_DR_GeneID
4932.Q0055	A0A0A7NYJ2	UniProt_AC
4932.Q0055	AI2	KEGG_NAME
4932.Q0055	AI2	SGD_NAME
4932.Q0055	AI2	UniProt_GN_Name
4932.Q0055	AI2M_YEAST	UniProt_ID
4932.Q0055	AIZ98885.1	Ensembl_protein_id
4932.Q0055	CAA24060.1	Ensembl_protein_id
4932.Q0055	Intron-encoded reverse transcriptase aI2	KEGG_PRODUCT
4932.Q0055	L000000067	SGD_ID
4932.Q0055	L000004926	SGD_ID
4932.Q0055	NC_001224	Ensembl_RefSeq_short
4932.Q0055	NC_001224.1	Ensembl_RefSeq
4932.Q0055	NC_001224.1	UniProt_DR_RefSeq
4932.Q0055	NP_009309	Ensembl_RefSeq_short
4932.Q0055	NP_009309	KEGG_NCBI
4932.Q0055	NP_009309.1	Ensembl_RefSeq
4932.Q0055	NP_009309.1	UniProt_DR_RefSeq
4932.Q0055	P03876	Ensembl_UniProt
4932.Q0055	P03876	UniProt_AC
4932.Q0055	Putative COX1/OXI3 intron 2 protein	UniProt_DE_RecName_Full
4932.Q0055	Q0055	Ensembl
4932.Q0055	Q0055	Ensembl_gene
4932.Q0055	Q0055	Ensembl_translation
4932.Q0055	Q0055	KEGG_KEGGID_SHORT
4932.Q0055	Q0055	SGD_PRIMARY
4932.Q0055	Q0055	UniProt_GN_OrderedLocusNames
4932.Q0055	Q0055_mRNA	Ensembl_transcript
4932.Q0055	Q9ZZX4	UniProt_AC
4932.Q0055	S000007262	SGD_ID
4932.Q0055	S000007262	UniProt_DR_SGD
4932.Q0055	UPI0000091E11	Ensembl_UniParc
4932.Q0055	intron-encoded reverse transcriptase aI2	SGD_SYNONYM
